data,resid
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-04,1.0503848537911387
2020-01-05,0.9478320900555368
2020-01-06,0.9548146890047492
2020-01-07,1.0654581040509337
2020-01-08,1.0371632024371762
2020-01-09,0.9661756845183564
2020-01-10,1.0182757652012235
2020-01-11,0.9755882498318019
2020-01-12,1.0072385600879756
2020-01-13,1.0502939225844925
2020-01-14,0.9421339326487564
2020-01-15,0.9489766872443383
2020-01-16,1.0163712760754102
2020-01-17,1.0021741059132812
2020-01-18,1.0409888110786083
2020-01-19,0.9701407265712086
2020-01-20,0.9377644317145134
2020-01-21,1.0893231619115307
2020-01-22,1.0101455845302636
2020-01-23,1.0189168449311565
2020-01-24,0.9421630922728972
2020-01-25,0.9877161481805827
2020-01-26,1.0339206189418637
2020-01-27,0.9674043522507221
2020-01-28,1.0334200763232306
2020-01-29,0.9711156623627499
2020-01-30,0.9892516198474015
2020-01-31,0.978293824281719
2020-02-01,1.0871004501541632
2020-02-02,1.0101003576111276
2020-02-03,0.9515773120871344
2020-02-04,1.0400322242481523
2020-02-05,0.9701578034466825
2020-02-06,1.0366596202282767
2020-02-07,0.9326272485694547
2020-02-08,0.9600275505064254
2020-02-09,1.0312825463354065
2020-02-10,1.0482128354931781
2020-02-11,1.0135481160287485
2020-02-12,0.9970465244813915
2020-02-13,0.9987386062856792
2020-02-14,0.9542211291594733
2020-02-15,0.9817134095834636
2020-02-16,1.010631175237313
2020-02-17,1.0596130946449274
2020-02-18,1.0150753604131193
2020-02-19,0.9312260535274215
2020-02-20,1.0131426235694936
2020-02-21,0.9946914156980059
2020-02-22,0.9762749652938174
2020-02-23,1.0309208884214451
2020-02-24,1.03794153255782
2020-02-25,1.0200059989415038
2020-02-26,0.9445057988287526
2020-02-27,0.9765131151830532
2020-02-28,1.0185807221854117
2020-02-29,1.0533308019230692
2020-03-01,1.0046417516362345
2020-03-02,0.9973509046351607
2020-03-03,0.9493004013456299
2020-03-04,0.9504631632563457
2020-03-05,1.0228833114231606
2020-03-06,1.0531903340909905
2020-03-07,0.995489659590393
2020-03-08,1.0344403875313883
2020-03-09,0.9927907705698373
2020-03-10,0.9545013490167585
